#X 	Y 	poch 	SPLINE
0	11.7045	-17732.9	11.1836
0.01	11.1836	4212.45	10.6228
0.02	10.6228	-1510.36	10.0345
0.03	10.0345	176.008	9.43051
0.04	9.43051	-132.662	8.82194
0.05	8.82194	79.2996	8.21868
0.06	8.21868	133.996	7.62922
0.07	7.62922	212.71	7.06061
0.08	7.06061	266.164	6.51843
0.09	6.51843	308.496	6.00688
0.1	6.00688	337.578	5.5289
0.11	5.5289	355.438	5.08631
0.12	5.08631	364.036	4.67999
0.13	4.67999	364.629	4.31003
0.14	4.31003	359.083	3.9759
0.15	3.9759	348.826	3.67659
0.16	3.67659	334.791	3.41073
0.17	3.41073	319.029	3.17674
0.18	3.17674	301.299	2.97287
0.19	2.97287	282.963	2.7973
0.2	2.7973	264.853	2.64822
0.21	2.64822	247.007	2.52386
0.22	2.52386	230.328	2.42254
0.23	2.42254	214.083	2.34267
0.24	2.34267	200.336	2.28284
0.25	2.28284	186.983	2.24174
0.26	2.24174	175.525	2.21823
0.27	2.21823	166.324	2.21136
0.28	2.21136	157.572	2.22029
0.29	2.22029	151.39	2.24438
0.3	2.24438	146.467	2.28314
0.31	2.28314	142.939	2.33622
0.32	2.33622	140.988	2.40343
0.33	2.40343	140.89	2.48474
0.34	2.48474	141.468	2.58023
0.35	2.58023	144.036	2.69014
0.36	2.69014	147.572	2.81483
0.37	2.81483	152.499	2.95479
0.38	2.95479	158.635	3.11063
0.39	3.11063	165.755	3.28306
0.4	3.28306	173.721	3.47289
0.41	3.47289	183.38	3.68106
0.42	3.68106	193.182	3.90856
0.43	3.90856	203.64	4.15644
0.44	4.15644	215.085	4.42582
0.45	4.42582	226.044	4.71781
0.46	4.71781	237.298	5.03352
0.47	5.03352	248.004	5.374
0.48	5.374	256.877	5.74015
0.49	5.74015	264.626	6.13271
0.5	6.13271	269.292	6.55213
0.51	6.55213	269.825	6.99846
0.52	6.99846	265.973	7.47126
0.53	7.47126	254.527	7.9694
0.54	7.9694	236.117	8.49096
0.55	8.49096	206.401	9.03298
0.56	9.03298	165.859	9.59134
0.57	9.59134	110.58	10.1605
0.58	10.1605	40.9895	10.7335
0.59	10.7335	-45.8844	11.3017
0.6	11.3017	-148.105	11.8547
0.61	11.8547	-266.833	12.3809
0.62	12.3809	-398.01	12.8671
0.63	12.8671	-537.523	13.2996
0.64	13.2996	-679.882	13.6641
0.65	13.6641	-816.995	13.9472
0.66	13.9472	-939.202	14.1367
0.67	14.1367	-1038.5	14.2229
0.68	14.2229	-1105.96	14.1992
0.69	14.1992	-1134.74	14.0627
0.7	14.0627	-1121.89	13.8147
